,country,code,year,deaths,under_5,5_14,15_49,50_69,over_70,gdp_per_capita,population,perc_of_pop_w_malaria
18,Afghanistan,AFG,2008,1122,219,67,747,53,35,1298.0,29839994.0,0.81
46,Albania,ALB,2008,0,0,0,0,0,0,9154.0,3181397.0,0.0
74,Algeria,DZA,2008,7,0,0,5,1,1,12660.0,34428028.0,0.01
102,American Samoa,ASM,2008,0,0,0,0,0,0,,66217.0,0.0
130,Andean Latin America,,2008,22,3,2,10,4,4,,,0.31
158,Andorra,AND,2008,0,0,0,0,0,0,,82577.0,0.0
186,Angola,AGO,2008,11424,7503,894,1727,1014,286,5978.0,18037964.0,10.13
214,Antigua and Barbuda,ATG,2008,0,0,0,0,0,0,24111.0,86881.0,0.0
242,Argentina,ARG,2008,4,0,0,2,1,1,18437.0,39714298.0,0.01
270,Armenia,ARM,2008,0,0,0,0,0,0,7558.0,3079087.0,0.0
298,Australasia,,2008,0,0,0,0,0,0,,,0.0
326,Australia,AUS,2008,0,0,0,0,0,0,41332.0,21513817.0,0.0
354,Austria,AUT,2008,0,0,0,0,0,0,44442.0,8341806.0,0.0
382,Azerbaijan,AZE,2008,1,0,0,1,0,0,14365.0,8943600.0,0.03
410,Bahamas,BHS,2008,0,0,0,0,0,0,31080.0,333661.0,0.0
438,Bahrain,BHR,2008,0,0,0,0,0,0,42218.0,1052359.0,0.0
466,Bangladesh,BGD,2008,4384,2,1490,1771,574,547,2252.0,145478300.0,0.29
494,Barbados,BRB,2008,0,0,0,0,0,0,17189.0,272180.0,0.0
522,Belarus,BLR,2008,0,0,0,0,0,0,14972.0,9680690.0,0.0
550,Belgium,BEL,2008,0,0,0,0,0,0,41619.0,10602167.0,0.0
578,Belize,BLZ,2008,0,0,0,0,0,0,7951.0,299237.0,0.35
606,Benin,BEN,2008,11314,7412,938,1423,966,575,1841.0,8355980.0,30.38
634,Bermuda,BMU,2008,0,0,0,0,0,0,60676.0,64657.0,0.0
662,Bhutan,BTN,2008,33,19,7,4,2,1,5592.0,701363.0,0.4
690,Bolivia,BOL,2008,6,1,1,2,1,1,5191.0,9618466.0,0.38
718,Bosnia and Herzegovina,BIH,2008,0,0,0,0,0,0,9824.0,3774164.0,0.0
746,Botswana,BWA,2008,6,2,1,3,1,0,13768.0,1954822.0,0.05
774,Brazil,BRA,2008,82,10,8,41,13,9,13803.0,191543237.0,0.16
802,Brunei,BRN,2008,0,0,0,0,0,0,81906.0,384695.0,0.0
830,Bulgaria,BGR,2008,0,0,0,0,0,0,15442.0,7591322.0,0.0
858,Burkina Faso,BFA,2008,37104,26659,2611,3487,2834,1513,1394.0,15515258.0,45.97
886,Burundi,BDI,2008,8622,5087,714,1610,951,260,759.0,7943385.0,12.46
914,Cambodia,KHM,2008,1504,313,136,716,261,79,2452.0,13822644.0,0.74
942,Cameroon,CMR,2008,26734,15898,2336,4182,2851,1468,2928.0,18758778.0,24.51
970,Canada,CAN,2008,0,0,0,0,0,0,41611.0,33327954.0,0.0
998,Cape Verde,CPV,2008,3,2,0,0,0,0,5944.0,487371.0,0.07
1026,Caribbean,,2008,32,3,2,20,5,2,,,0.33
1054,Central African Republic,CAF,2008,5868,3962,492,867,447,100,861.0,4237961.0,40.55
1082,Central Asia,,2008,20,12,0,4,2,2,,,0.05
1110,Central Europe,,2008,0,0,0,0,0,0,,,0.0
1138,"Central Europe, Eastern Europe, and Central Asia",,2008,20,12,0,4,2,2,,,0.01
1166,Central Latin America,,2008,130,21,14,61,18,15,,,0.18
1194,Central Sub-Saharan Africa,,2008,140389,96516,9881,19170,11486,3337,,,28.41
1222,Chad,TCD,2008,11754,8270,1024,1104,853,502,1737.0,10653762.0,19.62
1250,Chile,CHL,2008,0,0,0,0,0,0,19032.0,16795593.0,0.0
1278,China,CHN,2008,143,2,3,79,25,34,7948.0,1328275524.0,0.02
1306,Colombia,COL,2008,50,13,6,19,7,6,10547.0,45005782.0,0.42
1334,Comoros,COM,2008,1,0,0,1,0,0,1423.0,697034.0,7.07
1362,Congo,COG,2008,2442,1183,153,634,365,106,4730.0,3836339.0,18.05
1390,Costa Rica,CRI,2008,0,0,0,0,0,0,12835.0,4522124.0,0.12
1418,Cote d'Ivoire,CIV,2008,32563,20204,2527,5130,3211,1491,2672.0,18987007.0,30.09
1446,Croatia,HRV,2008,0,0,0,0,0,0,22011.0,4418387.0,0.0
1474,Cuba,CUB,2008,0,0,0,0,0,0,,11266905.0,0.0
1502,Cyprus,CYP,2008,0,0,0,0,0,0,35960.0,1077001.0,0.0
1530,Czech Republic,CZE,2008,0,0,0,0,0,0,29373.0,10377359.0,0.0
1558,Democratic Republic of Congo,COD,2008,118963,82924,8210,15618,9438,2773,640.0,62474901.0,34.25
1586,Denmark,DNK,2008,0,0,0,0,0,0,45866.0,5497312.0,0.0
1614,Djibouti,DJI,2008,1,0,0,1,0,0,,855636.0,0.14
1642,Dominica,DMA,2008,0,0,0,0,0,0,10303.0,68159.0,0.0
1670,Dominican Republic,DOM,2008,2,0,0,1,0,0,10455.0,9664948.0,0.02
1698,East Asia,,2008,150,2,3,83,26,35,,,0.02
1726,Eastern Europe,,2008,0,0,0,0,0,0,,,0.0
1754,Eastern Sub-Saharan Africa,,2008,135890,83092,10531,23866,13688,4715,,,10.11
1782,Ecuador,ECU,2008,9,1,1,4,1,2,9286.0,14056740.0,0.18
1810,Egypt,EGY,2008,0,0,0,0,0,0,9305.0,78323298.0,0.0
1838,El Salvador,SLV,2008,1,0,0,1,0,0,6358.0,6129628.0,0.02
1866,England,,2008,0,0,0,0,0,0,,,0.0
1894,Equatorial Guinea,GNQ,2008,1109,725,94,166,94,31,40016.0,662327.0,38.95
1922,Eritrea,ERI,2008,8,2,0,5,0,0,1384.0,4947521.0,0.71
1950,Estonia,EST,2008,0,0,0,0,0,0,25969.0,1342145.0,0.0
1978,Ethiopia,ETH,2008,5678,2670,482,1565,742,219,925.0,79446419.0,1.68
