,country,code,year,deaths,under_5,5_14,15_49,50_69,over_70,gdp_per_capita,population,perc_of_pop_w_malaria
27,Afghanistan,AFG,2017,1221,138,50,919,84,29,1804.0,,0.67
55,Albania,ALB,2017,0,0,0,0,0,0,11803.0,,0.0
83,Algeria,DZA,2017,6,0,0,4,1,1,13914.0,,0.01
111,American Samoa,ASM,2017,0,0,0,0,0,0,,,0.0
139,Andean Latin America,,2017,18,1,1,8,4,4,,,0.26
167,Andorra,AND,2017,0,0,0,0,0,0,,,0.0
195,Angola,AGO,2017,8431,4470,651,1818,1195,298,5819.0,,9.74
223,Antigua and Barbuda,ATG,2017,0,0,0,0,0,0,21491.0,,0.0
251,Argentina,ARG,2017,0,0,0,0,0,0,18934.0,,0.0
279,Armenia,ARM,2017,0,0,0,0,0,0,8788.0,,0.0
307,Australasia,,2017,0,0,0,0,0,0,,,0.0
335,Australia,AUS,2017,0,0,0,0,0,0,44649.0,,0.0
363,Austria,AUT,2017,0,0,0,0,0,0,45437.0,,0.0
391,Azerbaijan,AZE,2017,0,0,0,0,0,0,15847.0,,0.0
419,Bahamas,BHS,2017,0,0,0,0,0,0,27718.0,,0.0
447,Bahrain,BHR,2017,0,0,0,0,0,0,43291.0,,0.0
475,Bangladesh,BGD,2017,3274,1,863,1415,618,377,3524.0,,0.03
503,Barbados,BRB,2017,0,0,0,0,0,0,16978.0,,0.0
531,Belarus,BLR,2017,0,0,0,0,0,0,17168.0,,0.0
559,Belgium,BEL,2017,0,0,0,0,0,0,42659.0,,0.0
587,Belize,BLZ,2017,0,0,0,0,0,0,7824.0,,0.03
615,Benin,BEN,2017,9433,5611,721,1494,1083,524,2064.0,,24.1
643,Bermuda,BMU,2017,0,0,0,0,0,0,,,0.0
671,Bhutan,BTN,2017,18,7,5,3,2,2,8709.0,,0.05
699,Bolivia,BOL,2017,5,1,0,2,1,1,6886.0,,0.22
727,Bosnia and Herzegovina,BIH,2017,0,0,0,0,0,0,11714.0,,0.0
755,Botswana,BWA,2017,6,1,0,3,1,0,15807.0,,0.04
783,Brazil,BRA,2017,58,4,4,30,12,10,14103.0,,0.09
811,Brunei,BRN,2017,0,0,0,0,0,0,71809.0,,0.0
839,Bulgaria,BGR,2017,0,0,0,0,0,0,18563.0,,0.0
867,Burkina Faso,BFA,2017,30575,21007,1988,3514,2744,1321,1703.0,,23.62
895,Burundi,BDI,2017,8659,4880,711,1669,1125,274,702.0,,14.0
923,Cambodia,KHM,2017,1228,171,83,584,304,87,3645.0,,0.47
951,Cameroon,CMR,2017,22041,11214,1865,4469,3011,1482,3365.0,,17.48
979,Canada,CAN,2017,0,0,0,0,0,0,44018.0,,0.0
1007,Cape Verde,CPV,2017,2,2,0,0,0,0,6223.0,,0.08
1035,Caribbean,,2017,28,2,1,17,5,2,,,0.13
1063,Central African Republic,CAF,2017,3849,2120,360,867,418,84,661.0,,24.9
1091,Central Asia,,2017,0,0,0,0,0,0,,,0.0
1119,Central Europe,,2017,0,0,0,0,0,0,,,0.0
1147,"Central Europe, Eastern Europe, and Central Asia",,2017,0,0,0,0,0,0,,,0.0
1175,Central Latin America,,2017,107,13,9,51,18,15,,,0.19
1203,Central Sub-Saharan Africa,,2017,97358,56702,7132,18737,11913,2874,,,18.15
1231,Chad,TCD,2017,7679,4662,740,1053,790,434,1768.0,,9.29
1259,Chile,CHL,2017,0,0,0,0,0,0,22767.0,,0.0
1287,China,CHN,2017,105,1,2,44,24,34,15309.0,,0.0
1315,Colombia,COL,2017,37,7,3,14,6,7,13255.0,,0.25
1343,Comoros,COM,2017,1,0,0,1,0,0,1414.0,,0.2
1371,Congo,COG,2017,2244,739,148,734,496,127,4881.0,,14.34
1399,Costa Rica,CRI,2017,0,0,0,0,0,0,15525.0,,0.0
1427,Cote d'Ivoire,CIV,2017,16251,8240,1179,3470,2354,1008,3601.0,,9.05
1455,Croatia,HRV,2017,0,0,0,0,0,0,22670.0,,0.0
1483,Cuba,CUB,2017,0,0,0,0,0,0,,,0.0
1511,Cyprus,CYP,2017,0,0,0,0,0,0,32415.0,,0.0
1539,Czech Republic,CZE,2017,0,0,0,0,0,0,32606.0,,0.0
1567,Democratic Republic of Congo,COD,2017,81226,48656,5854,14902,9540,2274,808.0,,20.8
1595,Denmark,DNK,2017,0,0,0,0,0,0,46683.0,,0.0
1623,Djibouti,DJI,2017,2,0,0,1,0,0,,,1.05
1651,Dominica,DMA,2017,0,0,0,0,0,0,9673.0,,0.0
1679,Dominican Republic,DOM,2017,2,0,0,1,0,0,14601.0,,0.0
1707,East Asia,,2017,109,1,2,46,25,35,,,0.01
1735,Eastern Europe,,2017,0,0,0,0,0,0,,,0.0
1763,Eastern Sub-Saharan Africa,,2017,97636,50246,7624,22470,13121,4175,,,7.13
1791,Ecuador,ECU,2017,7,0,0,3,1,2,10582.0,,0.07
1819,Egypt,EGY,2017,0,0,0,0,0,0,10550.0,,0.0
1847,El Salvador,SLV,2017,0,0,0,0,0,0,7292.0,,0.01
1875,England,,2017,0,0,0,0,0,0,,,0.0
1903,Equatorial Guinea,GNQ,2017,902,443,82,227,112,38,22605.0,,27.16
1931,Eritrea,ERI,2017,10,2,1,7,1,0,,,0.59
1959,Estonia,EST,2017,0,0,0,0,0,0,29481.0,,0.0
1987,Ethiopia,ETH,2017,2784,1065,198,971,419,130,1730.0,,0.88
2015,Fiji,FJI,2017,0,0,0,0,0,0,8703.0,,0.0
2043,Finland,FIN,2017,0,0,0,0,0,0,40586.0,,0.0
2071,France,FRA,2017,0,0,0,0,0,0,38606.0,,0.0
2099,Gabon,GAB,2017,705,274,38,189,151,52,16562.0,,14.5
2127,Gambia,GMB,2017,135,38,8,40,29,19,1562.0,,0.8
2155,Georgia,GEO,2017,0,0,0,0,0,0,9745.0,,0.0
2183,Germany,DEU,2017,0,0,0,0,0,0,45229.0,,0.0
2211,Ghana,GHA,2017,18757,6006,1141,5866,3969,1775,4228.0,,12.65
2239,Greece,GRC,2017,0,0,0,0,0,0,24574.0,,0.0
2267,Greenland,GRL,2017,0,0,0,0,0,0,,,0.0
2295,Grenada,GRD,2017,0,0,0,0,0,0,13594.0,,0.0
2323,Guam,GUM,2017,0,0,0,0,0,0,,,0.0
2351,Guatemala,GTM,2017,13,1,1,7,2,2,7424.0,,0.2
2379,Guinea,GIN,2017,11355,6746,903,1616,1379,712,1999.0,,22.59
2407,Guinea-Bissau,GNB,2017,235,83,14,71,44,22,1549.0,,1.94
2435,Guyana,GUY,2017,12,1,1,8,3,1,7435.0,,1.65
2463,Haiti,HTI,2017,9,1,0,6,1,1,1653.0,,0.32
2491,High SDI,,2017,4,0,0,1,1,2,,,0.0
2519,High-income,,2017,2,0,0,1,0,1,,,0.0
2547,High-income Asia Pacific,,2017,2,0,0,1,0,1,,,0.01
2575,High-middle SDI,,2017,668,102,68,314,104,80,,,0.01
2603,Honduras,HND,2017,35,3,4,19,5,4,4542.0,,0.17
2631,Hungary,HUN,2017,0,0,0,0,0,0,26778.0,,0.0
2659,Iceland,ISL,2017,0,0,0,0,0,0,46483.0,,0.0
2687,India,IND,2017,49712,23000,10820,7435,5224,3234,6427.0,,0.55
2715,Indonesia,IDN,2017,6520,352,222,3214,1378,1354,11189.0,,0.33
2743,Iran,IRN,2017,10,0,0,5,1,2,19083.0,,0.01
2771,Iraq,IRQ,2017,0,0,0,0,0,0,15664.0,,0.0
2799,Ireland,IRL,2017,0,0,0,0,0,0,67335.0,,0.0
2827,Israel,ISR,2017,0,0,0,0,0,0,33132.0,,0.0
2855,Italy,ITA,2017,0,0,0,0,0,0,35220.0,,0.0
2883,Jamaica,JAM,2017,0,0,0,0,0,0,8194.0,,0.0
2911,Japan,JPN,2017,0,0,0,0,0,0,39002.0,,0.0
2939,Jordan,JOR,2017,0,0,0,0,0,0,8337.0,,0.0
2967,Kazakhstan,KAZ,2017,0,0,0,0,0,0,24056.0,,0.0
2995,Kenya,KEN,2017,4708,1338,340,1648,1039,344,2993.0,,3.23
3023,Kiribati,KIR,2017,0,0,0,0,0,0,1981.0,,0.0
3051,Kuwait,KWT,2017,0,0,0,0,0,0,65531.0,,0.0
3079,Kyrgyzstan,KGZ,2017,0,0,0,0,0,0,3393.0,,0.0
3107,Laos,LAO,2017,13,2,0,7,2,1,6397.0,,0.76
3135,Latin America and Caribbean,,2017,212,20,15,106,39,32,,,0.16
3163,Latvia,LVA,2017,0,0,0,0,0,0,25064.0,,0.0
3191,Lebanon,LBN,2017,0,0,0,0,0,0,13368.0,,0.0
3219,Lesotho,LSO,2017,0,0,0,0,0,0,2851.0,,0.0
3247,Liberia,LBR,2017,2810,1296,183,641,476,214,753.0,,14.89
3275,Libya,LBY,2017,0,0,0,0,0,0,17882.0,,0.0
3303,Lithuania,LTU,2017,0,0,0,0,0,0,29524.0,,0.0
3331,Low SDI,,2017,354554,208776,30113,60974,39523,15169,,,5.67
3359,Low-middle SDI,,2017,249925,142425,22427,42778,28867,13428,,,2.98
3387,Luxembourg,LUX,2017,0,0,0,0,0,0,94278.0,,0.0
3415,Macedonia,MKD,2017,0,0,0,0,0,0,13111.0,,0.0
3443,Madagascar,MDG,2017,5799,2201,406,1835,1127,229,1416.0,,4.06
3471,Malawi,MWI,2017,6884,2995,465,1878,1083,463,1095.0,,13.33
3499,Malaysia,MYS,2017,10,0,0,5,3,2,26808.0,,0.08
3527,Maldives,MDV,2017,0,0,0,0,0,0,15184.0,,0.0
3555,Mali,MLI,2017,25080,19467,1467,1955,1454,737,2014.0,,16.49
3583,Malta,MLT,2017,0,0,0,0,0,0,36513.0,,0.0
3611,Marshall Islands,MHL,2017,0,0,0,0,0,0,3819.0,,0.0
3639,Mauritania,MRT,2017,271,86,19,62,68,37,3598.0,,1.92
3667,Mauritius,MUS,2017,0,0,0,0,0,0,20293.0,,0.0
3695,Mexico,MEX,2017,2,0,0,1,0,0,17336.0,,0.01
3723,Micronesia (country),FSM,2017,0,0,0,0,0,0,3299.0,,0.0
3751,Middle SDI,,2017,14552,2951,1727,4856,2721,2296,,,0.19
3779,Moldova,MDA,2017,0,0,0,0,0,0,5190.0,,0.0
3807,Mongolia,MNG,2017,0,0,0,0,0,0,11841.0,,0.0
3835,Montenegro,MNE,2017,0,0,0,0,0,0,16409.0,,0.0
3863,Morocco,MAR,2017,0,0,0,0,0,0,7485.0,,0.0
3891,Mozambique,MOZ,2017,18423,9014,1843,4208,2539,820,1136.0,,19.57
3919,Myanmar,MMR,2017,3687,427,278,1596,1097,288,5592.0,,0.6
