,country,code,year,deaths,under_5,5_14,15_49,50_69,over_70,gdp_per_capita,population,perc_of_pop_w_malaria
10,Afghanistan,AFG,2000,925,239,43,559,49,35,,22856302.0,1.04
38,Albania,ALB,2000,0,0,0,0,0,0,5669.0,3071856.0,0.0
66,Algeria,DZA,2000,6,0,0,5,1,1,10211.0,30533827.0,0.01
94,American Samoa,ASM,2000,0,0,0,0,0,0,,57625.0,0.0
122,Andean Latin America,,2000,65,16,10,24,9,6,,,0.73
150,Andorra,AND,2000,0,0,0,0,0,0,,64634.0,0.0
178,Angola,AGO,2000,9462,6638,749,1196,694,185,2873.0,13926373.0,15.19
206,Antigua and Barbuda,ATG,2000,0,0,0,0,0,0,18908.0,77656.0,0.0
234,Argentina,ARG,2000,6,0,0,3,1,2,14900.0,36930709.0,0.03
262,Armenia,ARM,2000,1,0,0,0,0,0,2925.0,3076098.0,0.08
290,Australasia,,2000,0,0,0,0,0,0,,,0.0
318,Australia,AUS,2000,0,0,0,0,0,0,35378.0,19164351.0,0.0
346,Austria,AUT,2000,0,0,0,0,0,0,38844.0,8004712.0,0.0
374,Azerbaijan,AZE,2000,2,0,0,1,0,0,4459.0,8110723.0,0.15
402,Bahamas,BHS,2000,0,0,0,0,0,0,32991.0,297651.0,0.0
430,Bahrain,BHR,2000,0,0,0,0,0,0,44942.0,638193.0,0.0
458,Bangladesh,BGD,2000,6103,3,2983,1624,960,533,1642.0,129592275.0,0.66
486,Barbados,BRB,2000,0,0,0,0,0,0,15468.0,267511.0,0.0
514,Belarus,BLR,2000,0,0,0,0,0,0,7563.0,10057810.0,0.0
542,Belgium,BEL,2000,0,0,0,0,0,0,37189.0,10175684.0,0.0
570,Belize,BLZ,2000,0,0,0,0,0,0,6961.0,250512.0,0.73
598,Benin,BEN,2000,7143,4953,631,754,499,307,1666.0,6517810.0,29.1
626,Bermuda,BMU,2000,0,0,0,0,0,0,51140.0,62834.0,0.0
654,Bhutan,BTN,2000,42,26,10,3,2,1,3539.0,571262.0,2.37
682,Bolivia,BOL,2000,11,4,1,4,1,1,4412.0,8307248.0,0.67
710,Bosnia and Herzegovina,BIH,2000,0,0,0,0,0,0,6325.0,3693698.0,0.0
738,Botswana,BWA,2000,6,2,1,3,1,0,10411.0,1757925.0,0.13
766,Brazil,BRA,2000,148,39,19,63,18,10,11371.0,174425387.0,0.25
794,Brunei,BRN,2000,0,0,0,0,0,0,82050.0,327036.0,0.0
822,Bulgaria,BGR,2000,0,0,0,0,0,0,8833.0,8006158.0,0.0
850,Burkina Faso,BFA,2000,29215,21968,2098,2191,1873,1085,1075.0,12294012.0,49.65
878,Burundi,BDI,2000,15007,10227,1248,2042,1160,330,754.0,6374347.0,34.9
906,Cambodia,KHM,2000,1660,469,222,674,230,65,1385.0,12446949.0,1.9
934,Cameroon,CMR,2000,19883,12120,1812,2891,2086,975,2604.0,15678269.0,24.18
